section,cluster,id,address,longitude_x,latitude_y,assignment,datebegin,city,state,dateend
NNE,120,NNE-180120,2901 D ST,-75.1220402906267,39.9930048787724,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2900 Gransback,-75.1218687399423,39.9929819855581,Green,4/19/2013,Philadelphia,PA,4/15/2015
S,1175,S-161175,2845 JACKSON ST,-75.19402343697899,39.9263866911964,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,1175,S-161175,2841 JACKSON ST,-75.1939260465176,39.9263739347259,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,1175,S-161175,2839 JACKSON ST,-75.1938767311968,39.9263680352498,Green,4/15/2013,Philadelphia,PA,4/15/2015
NNW,112,NNW-1000112,2821 JUDSON ST,-75.1695771039073,39.9980753834671,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNE,16,NNE-040016,2819 N Hutchinson St,-75.1462126969836,39.9949837858426,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,112,NNW-1000112,2819 JUDSON ST,-75.1695860318227,39.998033320641,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNW,112,NNW-1000112,2817 JUDSON ST,-75.1695949222931,39.9979932472216,Green,4/18/2013,Philadelphia,PA,4/15/2015
S,1175,S-161175,2812 JACKSON ST,-75.19334684180021,39.9259186107009,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,1175,S-161175,2801 Jackson ST,-75.19285749680709,39.9266248738431,Green,4/15/2013,Philadelphia,PA,4/15/2015
NNW,112,NNW-1000112,2769 JUDSON ST,-75.16973082283189,39.9974147840239,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNW,72,NNW-0600072,2762 N 15TH ST,-75.15632598457699,39.9955746876581,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNW,72,NNW-0600072,2760 N 15TH ST,-75.15629786404971,39.9955347604796,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNW,72,NNW-0600072,2758 N 15TH ST,-75.1562723065268,39.9954948341511,Green,4/18/2013,Philadelphia,PA,4/15/2015
NNE,193,NNE-240193,2738 N FRONT ST,-75.13087483604259,39.9920636339816,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
S,287,S-060287,2734 OAKFORD ST,-75.1896510266194,39.9379885398359,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
NNW,429,NNW-2600429,2724 W EYRE ST,-75.1794853556749,39.9824527094838,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
NNW,429,NNW-2600429,2721 W EYRE ST,-75.1792792175878,39.9826679023391,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
S,287,S-060287,2720 OAKFORD ST,-75.18930961617821,39.9379438685728,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
NNW,429,NNW-2600429,2719 W EYRE ST,-75.17922853484041,39.9826614005425,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
NNW,429,NNW-2600429,2714 W EYRE ST,-75.17912010367741,39.9823997971152,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
NNW,429,NNW-2600429,2712 W EYRE ST,-75.1790691544776,39.982393833515,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
S,287,S-060287,2706 FEDERAL ST,-75.1887811666972,39.938726796457,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,287,S-060287,2701 MANTON ST,-75.18863560879301,39.9386364921866,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2630 TITAN ST,-75.18808821761731,39.9370791900562,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2628 TITAN ST,-75.18804095484541,39.9370732950382,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2628 EARP ST,-75.1883213902825,39.9358858815961,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2626 EARP ST,-75.1882723063046,39.935879742763,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2624 EARP ST,-75.1882232264466,39.9358733418137,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2620 TITAN ST,-75.1878546354519,39.937049644588,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2618 TITAN ST,-75.18780707338151,39.9370434696494,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2616 TITAN ST,-75.1877598527448,39.9370372960207,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2614 TITAN ST,-75.18771345286819,39.9370317780389,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2613 EARP ST,-75.18787362402649,39.9360547118151,Green,4/15/2013,Philadelphia,PA,4/15/2015
